1,Time,Displacement,Force,Tensile strain (Strain 1),Tensile stress
,(s),(mm),(kN),(%),(MPa)
"","0.0000","0.0000","0.0000","-0.0016","-0.0002"
"","0.0200","0.0000","0.0000","-0.0001","0.0023"
"","0.0400","0.0001","0.0001","0.0015","0.0049"
"","0.0600","0.0002","0.0002","0.0018","0.0080"
"","0.0800","0.0005","0.0003","0.0012","0.0125"
"","0.1000","0.0009","0.0004","0.0012","0.0169"
"","0.1200","0.0014","0.0007","0.0002","0.0315"
"","0.1400","0.0020","0.0010","-0.0004","0.0473"
"","0.1600","0.0027","0.0013","-0.0012","0.0614"
"","0.1800","0.0033","0.0016","-0.0010","0.0770"
"","0.2000","0.0039","0.0020","-0.0018","0.0961"
"","0.2200","0.0045","0.0024","-0.0024","0.1139"
"","0.2400","0.0051","0.0029","-0.0029","0.1378"
"","0.2600","0.0058","0.0033","-0.0027","0.1595"
"","0.2800","0.0064","0.0038","-0.0005","0.1794"
"","0.3000","0.0071","0.0042","0.0000","0.2020"
"","0.3200","0.0077","0.0047","0.0003","0.2216"
"","0.3400","0.0084","0.0052","-0.0004","0.2460"
"","0.3600","0.0090","0.0056","-0.0005","0.2668"
"","0.3800","0.0097","0.0060","-0.0016","0.2872"
"","0.4000","0.0104","0.0065","-0.0023","0.3088"
"","0.4200","0.0111","0.0071","-0.0024","0.3362"
"","0.4400","0.0118","0.0076","-0.0028","0.3622"
"","0.4600","0.0125","0.0082","-0.0033","0.3903"
"","0.4800","0.0131","0.0088","-0.0041","0.4207"
"","0.5000","0.0138","0.0094","-0.0039","0.4466"
"","0.5200","0.0144","0.0100","-0.0030","0.4743"
"","0.5400","0.0151","0.0106","-0.0012","0.5033"
"","0.5600","0.0158","0.0112","-0.0007","0.5346"
"","0.5800","0.0165","0.0119","-0.0006","0.5655"
"","0.6000","0.0171","0.0125","-0.0011","0.5964"
"","0.6200","0.0178","0.0131","-0.0022","0.6240"
"","0.6400","0.0185","0.0138","-0.0025","0.6571"
"","0.6600","0.0192","0.0146","-0.0031","0.6929"
"","0.6800","0.0199","0.0152","-0.0033","0.7231"
"","0.7000","0.0206","0.0159","-0.0038","0.7582"
"","0.7200","0.0213","0.0166","-0.0040","0.7927"
"","0.7400","0.0220","0.0174","-0.0044","0.8277"
"","0.7600","0.0226","0.0181","-0.0045","0.8623"
"","0.7800","0.0233","0.0188","-0.0019","0.8949"
"","0.8000","0.0240","0.0196","-0.0009","0.9343"
"","0.8200","0.0246","0.0205","-0.0009","0.9740"
"","0.8400","0.0253","0.0213","-0.0013","1.0126"
"","0.8600","0.0260","0.0221","-0.0015","1.0527"
"","0.8800","0.0267","0.0229","-0.0023","1.0911"
"","0.9000","0.0274","0.0237","-0.0027","1.1275"
"","0.9200","0.0280","0.0245","-0.0029","1.1650"
"","0.9400","0.0287","0.0254","-0.0033","1.2086"
"","0.9600","0.0294","0.0262","-0.0035","1.2456"
"","0.9800","0.0300","0.0270","-0.0038","1.2835"
"","1.0000","0.0306","0.0277","-0.0042","1.3214"
"","1.0200","0.0313","0.0286","-0.0031","1.3630"
"","1.0400","0.0319","0.0295","-0.0008","1.4033"
"","1.0600","0.0326","0.0303","-0.0002","1.4436"
"","1.0800","0.0333","0.0313","-0.0004","1.4886"
"","1.1000","0.0340","0.0322","-0.0006","1.5341"
"","1.1200","0.0346","0.0332","-0.0009","1.5809"
"","1.1400","0.0354","0.0342","-0.0014","1.6283"
"","1.1600","0.0361","0.0352","-0.0013","1.6779"
"","1.1800","0.0368","0.0362","-0.0014","1.7232"
"","1.2000","0.0374","0.0371","-0.0020","1.7667"
"","1.2200","0.0381","0.0381","-0.0024","1.8129"
"","1.2400","0.0387","0.0390","-0.0024","1.8589"
"","1.2600","0.0394","0.0400","-0.0028","1.9041"
"","1.2800","0.0400","0.0410","-0.0017","1.9508"
"","1.3000","0.0406","0.0419","0.0008","1.9950"
"","1.3200","0.0413","0.0429","0.0013","2.0449"
"","1.3400","0.0420","0.0440","0.0011","2.0956"
"","1.3600","0.0427","0.0451","0.0011","2.1456"
"","1.3800","0.0434","0.0461","0.0008","2.1963"
"","1.4000","0.0440","0.0471","0.0001","2.2414"
"","1.4200","0.0447","0.0479","0.0001","2.2825"
"","1.4400","0.0454","0.0490","0.0000","2.3319"
"","1.4600","0.0460","0.0501","-0.0003","2.3859"
"","1.4800","0.0467","0.0511","-0.0005","2.4316"
"","1.5000","0.0473","0.0519","-0.0007","2.4720"
"","1.5200","0.0479","0.0528","-0.0013","2.5147"
"","1.5400","0.0486","0.0537","0.0004","2.5594"
"","1.5600","0.0492","0.0547","0.0026","2.6061"
"","1.5800","0.0499","0.0558","0.0031","2.6582"
"","1.6000","0.0506","0.0568","0.0029","2.7029"
"","1.6200","0.0513","0.0577","0.0027","2.7482"
"","1.6400","0.0520","0.0585","0.0022","2.7844"
"","1.6600","0.0527","0.0592","0.0017","2.8194"
"","1.6800","0.0533","0.0600","0.0016","2.8585"
"","1.7000","0.0540","0.0608","0.0011","2.8947"
"","1.7200","0.0546","0.0615","0.0010","2.9298"
"","1.7400","0.0553","0.0622","0.0009","2.9633"
"","1.7600","0.0560","0.0630","0.0005","2.9979"
"","1.7800","0.0567","0.0637","0.0009","3.0348"
"","1.8000","0.0573","0.0644","0.0031","3.0678"
"","1.8200","0.0580","0.0651","0.0042","3.1005"
"","1.8400","0.0587","0.0658","0.0046","3.1325"
"","1.8600","0.0594","0.0665","0.0044","3.1686"
"","1.8800","0.0601","0.0673","0.0039","3.2071"
"","1.9000","0.0608","0.0681","0.0036","3.2429"
"","1.9200","0.0615","0.0687","0.0032","3.2718"
"","1.9400","0.0621","0.0693","0.0027","3.2987"
"","1.9600","0.0628","0.0699","0.0025","3.3288"
"","1.9800","0.0634","0.0706","0.0024","3.3601"
"","2.0000","0.0641","0.0711","0.0019","3.3850"
"","2.0200","0.0647","0.0718","0.0018","3.4169"
"","2.0400","0.0654","0.0724","0.0036","3.4498"
"","2.0600","0.0661","0.0731","0.0054","3.4828"
"","2.0800","0.0668","0.0738","0.0061","3.5155"
"","2.1000","0.0674","0.0744","0.0058","3.5436"
"","2.1200","0.0681","0.0750","0.0052","3.5716"
"","2.1400","0.0688","0.0755","0.0050","3.5954"
"","2.1600","0.0694","0.0760","0.0046","3.6171"
"","2.1800","0.0701","0.0765","0.0041","3.6435"
"","2.2000","0.0707","0.0771","0.0041","3.6709"
"","2.2200","0.0713","0.0776","0.0037","3.6973"
"","2.2400","0.0719","0.0783","0.0033","3.7278"
"","2.2600","0.0726","0.0789","0.0032","3.7559"
"","2.2800","0.0732","0.0794","0.0033","3.7825"
"","2.3000","0.0739","0.0801","0.0056","3.8155"
"","2.3200","0.0745","0.0808","0.0070","3.8472"
"","2.3400","0.0752","0.0815","0.0070","3.8808"
"","2.3600","0.0760","0.0822","0.0068","3.9128"
"","2.3800","0.0767","0.0828","0.0065","3.9408"
"","2.4000","0.0774","0.0833","0.0060","3.9668"
"","2.4200","0.0780","0.0839","0.0058","3.9930"
"","2.4400","0.0787","0.0844","0.0054","4.0201"
"","2.4600","0.0794","0.0850","0.0051","4.0472"
"","2.4800","0.0800","0.0855","0.0051","4.0722"
"","2.5000","0.0807","0.0861","0.0048","4.0977"
"","2.5200","0.0813","0.0866","0.0044","4.1237"
"","2.5400","0.0820","0.0873","0.0060","4.1548"
"","2.5600","0.0827","0.0878","0.0079","4.1830"
"","2.5800","0.0834","0.0884","0.0084","4.2090"
"","2.6000","0.0841","0.0890","0.0082","4.2371"
"","2.6200","0.0848","0.0896","0.0076","4.2658"
"","2.6400","0.0854","0.0901","0.0074","4.2898"
"","2.6600","0.0861","0.0906","0.0070","4.3141"
"","2.6800","0.0868","0.0912","0.0067","4.3419"
"","2.7000","0.0874","0.0918","0.0065","4.3732"
"","2.7200","0.0880","0.0924","0.0063","4.3993"
"","2.7400","0.0887","0.0929","0.0060","4.4230"
"","2.7600","0.0893","0.0934","0.0059","4.4498"
"","2.7800","0.0900","0.0940","0.0067","4.4773"
"","2.8000","0.0907","0.0945","0.0088","4.5016"
"","2.8200","0.0913","0.0951","0.0096","4.5301"
"","2.8400","0.0920","0.0959","0.0095","4.5663"
"","2.8600","0.0927","0.0967","0.0091","4.6025"
"","2.8800","0.0934","0.0972","0.0087","4.6298"
"","2.9000","0.0940","0.0978","0.0081","4.6560"
"","2.9200","0.0947","0.0982","0.0078","4.6779"
"","2.9400","0.0953","0.0988","0.0076","4.7048"
"","2.9600","0.0960","0.0993","0.0073","4.7296"
"","2.9800","0.0967","0.0999","0.0073","4.7548"
"","3.0000","0.0973","0.1004","0.0070","4.7811"
"","3.0200","0.0980","0.1010","0.0078","4.8073"
"","3.0400","0.0987","0.1016","0.0099","4.8379"
"","3.0600","0.0994","0.1022","0.0107","4.8690"
"","3.0800","0.1001","0.1028","0.0108","4.8952"
"","3.1000","0.1007","0.1034","0.0104","4.9231"
"","3.1200","0.1014","0.1040","0.0100","4.9522"
"","3.1400","0.1020","0.1046","0.0095","4.9827"
"","3.1600","0.1027","0.1053","0.0092","5.0132"
"","3.1800","0.1033","0.1059","0.0089","5.0409"
"","3.2000","0.1040","0.1063","0.0087","5.0635"
"","3.2200","0.1046","0.1070","0.0084","5.0949"
"","3.2400","0.1053","0.1076","0.0082","5.1253"
"","3.2600","0.1060","0.1082","0.0089","5.1542"
"","3.2800","0.1067","0.1090","0.0110","5.1885"
"","3.3000","0.1073","0.1095","0.0120","5.2150"
"","3.3200","0.1080","0.1101","0.0119","5.2415"
"","3.3400","0.1087","0.1107","0.0115","5.2719"
"","3.3600","0.1093","0.1114","0.0113","5.3027"
"","3.3800","0.1100","0.1120","0.0110","5.3353"
"","3.4000","0.1106","0.1127","0.0107","5.3643"
"","3.4200","0.1112","0.1132","0.0104","5.3921"
"","3.4400","0.1119","0.1138","0.0100","5.4212"
"","3.4600","0.1125","0.1146","0.0098","5.4554"
"","3.4800","0.1132","0.1152","0.0095","5.4867"
"","3.5000","0.1139","0.1160","0.0103","5.5218"
"","3.5200","0.1146","0.1167","0.0126","5.5585"
"","3.5400","0.1153","0.1175","0.0135","5.5930"
"","3.5600","0.1160","0.1181","0.0134","5.6225"
"","3.5800","0.1167","0.1188","0.0130","5.6558"
"","3.6000","0.1174","0.1195","0.0126","5.6893"
"","3.6200","0.1180","0.1201","0.0123","5.7192"
"","3.6400","0.1187","0.1207","0.0119","5.7483"
"","3.6600","0.1193","0.1213","0.0118","5.7774"
"","3.6800","0.1200","0.1220","0.0114","5.8104"
"","3.7000","0.1206","0.1227","0.0110","5.8418"
"","3.7200","0.1213","0.1233","0.0110","5.8709"
"","3.7400","0.1220","0.1240","0.0116","5.9037"
"","3.7600","0.1227","0.1247","0.0138","5.9379"
"","3.7800","0.1234","0.1255","0.0150","5.9746"
"","3.8000","0.1241","0.1261","0.0149","6.0043"
"","3.8200","0.1248","0.1267","0.0145","6.0355"
"","3.8400","0.1254","0.1274","0.0139","6.0658"
"","3.8600","0.1261","0.1281","0.0136","6.0986"
"","3.8800","0.1268","0.1288","0.0135","6.1313"
"","3.9000","0.1274","0.1294","0.0132","6.1596"
"","3.9200","0.1280","0.1299","0.0130","6.1841"
"","3.9400","0.1286","0.1305","0.0127","6.2124"
"","3.9600","0.1293","0.1311","0.0126","6.2436"
"","3.9800","0.1299","0.1319","0.0130","6.2832"
"","4.0000","0.1306","0.1326","0.0153","6.3159"
"","4.0200","0.1313","0.1333","0.0165","6.3496"
"","4.0400","0.1320","0.1340","0.0165","6.3818"
"","4.0600","0.1326","0.1346","0.0160","6.4118"
"","4.0800","0.1333","0.1354","0.0155","6.4455"
"","4.1000","0.1339","0.1360","0.0151","6.4775"
"","4.1200","0.1346","0.1366","0.0150","6.5066"
"","4.1400","0.1352","0.1373","0.0148","6.5386"
"","4.1600","0.1359","0.1380","0.0145","6.5692"
"","4.1800","0.1366","0.1387","0.0142","6.6044"
"","4.2000","0.1372","0.1393","0.0140","6.6349"
"","4.2200","0.1379","0.1400","0.0141","6.6652"
"","4.2400","0.1386","0.1406","0.0162","6.6976"
"","4.2600","0.1393","0.1415","0.0176","6.7364"
"","4.2800","0.1400","0.1423","0.0177","6.7756"
"","4.3000","0.1407","0.1431","0.0173","6.8120"
"","4.3200","0.1414","0.1437","0.0170","6.8437"
"","4.3400","0.1421","0.1444","0.0166","6.8771"
"","4.3600","0.1427","0.1451","0.0163","6.9079"
"","4.3800","0.1434","0.1457","0.0161","6.9399"
"","4.4000","0.1440","0.1464","0.0157","6.9709"
"","4.4200","0.1446","0.1471","0.0155","7.0046"
"","4.4400","0.1453","0.1477","0.0155","7.0355"
"","4.4600","0.1460","0.1485","0.0153","7.0693"
"","4.4800","0.1467","0.1492","0.0174","7.1059"
"","4.5000","0.1474","0.1499","0.0191","7.1396"
"","4.5200","0.1480","0.1507","0.0195","7.1748"
"","4.5400","0.1487","0.1514","0.0190","7.2112"
"","4.5600","0.1494","0.1521","0.0185","7.2448"
"","4.5800","0.1500","0.1528","0.0182","7.2767"
"","4.6000","0.1506","0.1535","0.0177","7.3074"
"","4.6200","0.1513","0.1540","0.0176","7.3354"
"","4.6400","0.1519","0.1546","0.0172","7.3640"
"","4.6600","0.1525","0.1553","0.0170","7.3973"
"","4.6800","0.1532","0.1561","0.0168","7.4339"
"","4.7000","0.1539","0.1568","0.0167","7.4678"
"","4.7200","0.1546","0.1575","0.0179","7.5016"
"","4.7400","0.1553","0.1583","0.0201","7.5405"
"","4.7600","0.1560","0.1591","0.0211","7.5763"
"","4.7800","0.1567","0.1599","0.0210","7.6129"
"","4.8000","0.1574","0.1606","0.0204","7.6481"
"","4.8200","0.1581","0.1613","0.0199","7.6812"
"","4.8400","0.1587","0.1620","0.0195","7.7129"
"","4.8600","0.1594","0.1627","0.0194","7.7454"
"","4.8800","0.1600","0.1634","0.0191","7.7796"
"","4.9000","0.1607","0.1640","0.0189","7.8116"
"","4.9200","0.1613","0.1647","0.0186","7.8428"
"","4.9400","0.1620","0.1654","0.0183","7.8743"
"","4.9600","0.1627","0.1661","0.0183","7.9088"
"","4.9800","0.1634","0.1669","0.0204","7.9474"
"","5.0000","0.1641","0.1677","0.0221","7.9846"
"","5.0200","0.1647","0.1684","0.0225","8.0206"
"","5.0400","0.1654","0.1691","0.0221","8.0523"
"","5.0600","0.1661","0.1698","0.0218","8.0842"
"","5.0800","0.1667","0.1704","0.0213","8.1148"
"","5.1000","0.1673","0.1711","0.0210","8.1482"
"","5.1200","0.1679","0.1717","0.0207","8.1757"
"","5.1400","0.1686","0.1723","0.0205","8.2049"
"","5.1600","0.1692","0.1731","0.0204","8.2410"
"","5.1800","0.1699","0.1737","0.0202","8.2721"
"","5.2000","0.1705","0.1744","0.0201","8.3063"
"","5.2200","0.1712","0.1752","0.0208","8.3429"
"","5.2400","0.1720","0.1760","0.0230","8.3820"
"","5.2600","0.1727","0.1769","0.0241","8.4222"
"","5.2800","0.1734","0.1776","0.0241","8.4563"
"","5.3000","0.1740","0.1782","0.0236","8.4872"
"","5.3200","0.1747","0.1789","0.0232","8.5190"
"","5.3400","0.1753","0.1796","0.0229","8.5501"
"","5.3600","0.1760","0.1803","0.0226","8.5845"
"","5.3800","0.1767","0.1810","0.0223","8.6193"
"","5.4000","0.1773","0.1818","0.0222","8.6560"
"","5.4200","0.1780","0.1824","0.0220","8.6863"
"","5.4400","0.1786","0.1831","0.0218","8.7202"
"","5.4600","0.1794","0.1839","0.0217","8.7562"
"","5.4800","0.1801","0.1846","0.0237","8.7910"
"","5.5000","0.1808","0.1854","0.0251","8.8287"
"","5.5200","0.1814","0.1862","0.0255","8.8667"
"","5.5400","0.1821","0.1868","0.0254","8.8953"
"","5.5600","0.1828","0.1875","0.0249","8.9279"
"","5.5800","0.1834","0.1882","0.0245","8.9624"
"","5.6000","0.1840","0.1889","0.0241","8.9942"
"","5.6200","0.1847","0.1895","0.0240","9.0233"
"","5.6400","0.1854","0.1902","0.0237","9.0561"
"","5.6600","0.1860","0.1910","0.0235","9.0931"
"","5.6800","0.1867","0.1918","0.0233","9.1316"
"","5.7000","0.1874","0.1924","0.0232","9.1628"
"","5.7200","0.1881","0.1931","0.0242","9.1958"
"","5.7400","0.1887","0.1938","0.0263","9.2287"
"","5.7600","0.1894","0.1946","0.0272","9.2655"
"","5.7800","0.1901","0.1953","0.0270","9.2987"
"","5.8000","0.1907","0.1959","0.0265","9.3290"
"","5.8200","0.1913","0.1965","0.0260","9.3574"
"","5.8400","0.1919","0.1972","0.0258","9.3899"
"","5.8600","0.1926","0.1978","0.0255","9.4201"
"","5.8800","0.1932","0.1984","0.0252","9.4483"
"","5.9000","0.1939","0.1992","0.0251","9.4839"
"","5.9200","0.1946","0.1999","0.0248","9.5191"
"","5.9400","0.1952","0.2006","0.0247","9.5501"
"","5.9600","0.1959","0.2013","0.0247","9.5862"
"","5.9800","0.1967","0.2021","0.0269","9.6252"
"","6.0000","0.1974","0.2028","0.0284","9.6562"
"","6.0200","0.1980","0.2035","0.0286","9.6921"
"","6.0400","0.1987","0.2042","0.0283","9.7260"
"","6.0600","0.1993","0.2049","0.0278","9.7549"
"","6.0800","0.2000","0.2055","0.0275","9.7879"
"","6.1000","0.2006","0.2062","0.0272","9.8171"
"","6.1200","0.2013","0.2069","0.0270","9.8506"
"","6.1400","0.2019","0.2076","0.0267","9.8864"
"","6.1600","0.2027","0.2084","0.0265","9.9225"
"","6.1800","0.2034","0.2092","0.0264","9.9596"
"","6.2000","0.2041","0.2099","0.0261","9.9967"
"","6.2200","0.2047","0.2105","0.0271","10.0256"
"","6.2400","0.2054","0.2112","0.0292","10.0566"
"","6.2600","0.2061","0.2119","0.0302","10.0911"
"","6.2800","0.2068","0.2126","0.0301","10.1226"
"","6.3000","0.2074","0.2133","0.0299","10.1550"
"","6.3200","0.2080","0.2140","0.0294","10.1884"
"","6.3400","0.2086","0.2146","0.0288","10.2181"
"","6.3600","0.2093","0.2152","0.0286","10.2499"
"","6.3800","0.2099","0.2158","0.0286","10.2781"
"","6.4000","0.2106","0.2166","0.0284","10.3122"
"","6.4200","0.2113","0.2173","0.0282","10.3476"
"","6.4400","0.2120","0.2180","0.0281","10.3824"
"","6.4600","0.2127","0.2188","0.0279","10.4170"
"","6.4800","0.2134","0.2195","0.0300","10.4538"
"","6.5000","0.2140","0.2202","0.0315","10.4841"
"","6.5200","0.2147","0.2208","0.0317","10.5141"
"","6.5400","0.2154","0.2214","0.0314","10.5432"
"","6.5600","0.2160","0.2221","0.0309","10.5773"
"","6.5800","0.2167","0.2228","0.0306","10.6108"
"","6.6000","0.2174","0.2235","0.0303","10.6433"
"","6.6200","0.2180","0.2242","0.0301","10.6771"
"","6.6400","0.2187","0.2250","0.0296","10.7129"
"","6.6600","0.2194","0.2256","0.0296","10.7435"
"","6.6800","0.2201","0.2264","0.0296","10.7806"
"","6.7000","0.2208","0.2272","0.0295","10.8183"
"","6.7200","0.2215","0.2278","0.0313","10.8492"
"","6.7400","0.2221","0.2284","0.0330","10.8773"
"","6.7600","0.2227","0.2290","0.0335","10.9054"
"","6.7800","0.2234","0.2296","0.0331","10.9355"
"","6.8000","0.2240","0.2302","0.0328","10.9643"
"","6.8200","0.2246","0.2309","0.0322","10.9945"
"","6.8400","0.2253","0.2316","0.0318","11.0276"
"","6.8600","0.2259","0.2322","0.0314","11.0589"
"","6.8800","0.2266","0.2330","0.0314","11.0939"
"","6.9000","0.2273","0.2337","0.0314","11.1277"
"","6.9200","0.2280","0.2343","0.0312","11.1592"
"","6.9400","0.2287","0.2350","0.0310","11.1916"
"","6.9600","0.2294","0.2357","0.0323","11.2227"
"","6.9800","0.2300","0.2363","0.0344","11.2544"
"","7.0000","0.2307","0.2370","0.0350","11.2862"
"","7.0200","0.2313","0.2376","0.0347","11.3165"
"","7.0400","0.2319","0.2382","0.0343","11.3438"
"","7.0600","0.2326","0.2389","0.0340","11.3750"
"","7.0800","0.2333","0.2396","0.0336","11.4077"
"","7.1000","0.2339","0.2403","0.0332","11.4406"
"","7.1200","0.2346","0.2409","0.0330","11.4731"
"","7.1400","0.2353","0.2416","0.0327","11.5069"
"","7.1600","0.2360","0.2424","0.0326","11.5420"
"","7.1800","0.2367","0.2431","0.0323","11.5779"
"","7.2000","0.2374","0.2439","0.0333","11.6141"
"","7.2200","0.2381","0.2445","0.0355","11.6436"
"","7.2400","0.2388","0.2452","0.0363","11.6752"
"","7.2600","0.2394","0.2458","0.0362","11.7026"
"","7.2800","0.2400","0.2464","0.0358","11.7332"
"","7.3000","0.2407","0.2470","0.0354","11.7605"
"","7.3200","0.2413","0.2476","0.0350","11.7899"
"","7.3400","0.2420","0.2482","0.0347","11.8213"
"","7.3600","0.2427","0.2489","0.0345","11.8532"
"","7.3800","0.2434","0.2496","0.0344","11.8852"
"","7.4000","0.2441","0.2503","0.0341","11.9189"
"","7.4200","0.2448","0.2510","0.0339","11.9504"
"","7.4400","0.2455","0.2516","0.0343","11.9830"
"","7.4600","0.2462","0.2524","0.0366","12.0182"
"","7.4800","0.2468","0.2530","0.0377","12.0495"
"","7.5000","0.2475","0.2536","0.0378","12.0766"
"","7.5200","0.2481","0.2542","0.0375","12.1040"
"","7.5400","0.2487","0.2547","0.0371","12.1301"
"","7.5600","0.2493","0.2553","0.0366","12.1594"
"","7.5800","0.2500","0.2559","0.0363","12.1857"
"","7.6000","0.2506","0.2564","0.0360","12.2092"
"","7.6200","0.2513","0.2571","0.0358","12.2412"
"","7.6400","0.2520","0.2578","0.0357","12.2777"
"","7.6600","0.2527","0.2585","0.0354","12.3088"
"","7.6800","0.2533","0.2592","0.0351","12.3413"
"","7.7000","0.2540","0.2597","0.0371","12.3668"
"","7.7200","0.2546","0.2603","0.0389","12.3958"
"","7.7400","0.2553","0.2610","0.0392","12.4290"
"","7.7600","0.2559","0.2616","0.0389","12.4565"
"","7.7800","0.2566","0.2622","0.0384","12.4880"
"","7.8000","0.2573","0.2629","0.0381","12.5182"
"","7.8200","0.2579","0.2635","0.0379","12.5495"
"","7.8400","0.2586","0.2642","0.0377","12.5809"
"","7.8600","0.2593","0.2649","0.0373","12.6120"
"","7.8800","0.2600","0.2655","0.0371","12.6443"
"","7.9000","0.2607","0.2662","0.0368","12.6753"
"","7.9200","0.2614","0.2669","0.0366","12.7081"
"","7.9400","0.2621","0.2675","0.0373","12.7380"
"","7.9600","0.2627","0.2682","0.0396","12.7704"
"","7.9800","0.2634","0.2688","0.0404","12.8012"
"","8.0000","0.2640","0.2694","0.0404","12.8284"
"","8.0200","0.2647","0.2700","0.0400","12.8576"
"","8.0400","0.2653","0.2706","0.0398","12.8859"
"","8.0600","0.2660","0.2713","0.0396","12.9169"
"","8.0800","0.2667","0.2719","0.0391","12.9466"
"","8.1000","0.2674","0.2725","0.0389","12.9781"
"","8.1200","0.2681","0.2732","0.0386","13.0094"
"","8.1400","0.2687","0.2738","0.0385","13.0394"
"","8.1600","0.2694","0.2744","0.0381","13.0669"
"","8.1800","0.2700","0.2751","0.0381","13.0979"
"","8.2000","0.2707","0.2756","0.0402","13.1261"
"","8.2200","0.2713","0.2762","0.0419","13.1517"
"","8.2400","0.2720","0.2767","0.0422","13.1753"
"","8.2600","0.2726","0.2773","0.0419","13.2055"
"","8.2800","0.2733","0.2779","0.0413","13.2354"
"","8.3000","0.2739","0.2786","0.0411","13.2673"
"","8.3200","0.2746","0.2792","0.0407","13.2959"
"","8.3400","0.2753","0.2798","0.0405","13.3260"
"","8.3600","0.2760","0.2805","0.0402","13.3574"
"","8.3800","0.2767","0.2812","0.0401","13.3895"
"","8.4000","0.2774","0.2818","0.0399","13.4192"
"","8.4200","0.2781","0.2824","0.0395","13.4460"
"","8.4400","0.2787","0.2829","0.0401","13.4730"
"","8.4600","0.2794","0.2837","0.0423","13.5082"
"","8.4800","0.2800","0.2843","0.0434","13.5393"
"","8.5000","0.2807","0.2849","0.0434","13.5659"
"","8.5200","0.2813","0.2855","0.0431","13.5930"
"","8.5400","0.2820","0.2860","0.0425","13.6185"
"","8.5600","0.2826","0.2865","0.0422","13.6451"
"","8.5800","0.2833","0.2872","0.0420","13.6783"
"","8.6000","0.2840","0.2880","0.0417","13.7120"
"","8.6200","0.2847","0.2887","0.0414","13.7455"
"","8.6400","0.2854","0.2893","0.0412","13.7752"
"","8.6600","0.2860","0.2898","0.0410","13.7988"
"","8.6800","0.2867","0.2903","0.0408","13.8219"
"","8.7000","0.2874","0.2910","0.0423","13.8560"
"","8.7200","0.2880","0.2915","0.0444","13.8819"
"","8.7400","0.2886","0.2920","0.0449","13.9035"
"","8.7600","0.2893","0.2924","0.0448","13.9257"
"","8.7800","0.2899","0.2930","0.0444","13.9520"
"","8.8000","0.2906","0.2937","0.0440","13.9843"
"","8.8200","0.2913","0.2944","0.0436","14.0200"
"","8.8400","0.2920","0.2951","0.0433","14.0504"
"","8.8600","0.2927","0.2957","0.0431","14.0791"
"","8.8800","0.2933","0.2962","0.0428","14.1066"
"","8.9000","0.2940","0.2968","0.0426","14.1323"
"","8.9200","0.2947","0.2974","0.0424","14.1604"
"","8.9400","0.2953","0.2980","0.0425","14.1924"
"","8.9600","0.2960","0.2987","0.0447","14.2225"
"","8.9800","0.2967","0.2993","0.0461","14.2508"
"","9.0000","0.2973","0.2999","0.0463","14.2800"
"","9.0200","0.2980","0.3004","0.0460","14.3060"
"","9.0400","0.2987","0.3010","0.0457","14.3347"
"","9.0600","0.2994","0.3016","0.0451","14.3613"
"","9.0800","0.3001","0.3023","0.0449","14.3950"
"","9.1000","0.3008","0.3030","0.0445","14.4270"
"","9.1200","0.3015","0.3035","0.0444","14.4531"
"","9.1400","0.3021","0.3040","0.0441","14.4785"
"","9.1600","0.3028","0.3046","0.0440","14.5043"
"","9.1800","0.3034","0.3051","0.0438","14.5285"
"","9.2000","0.3041","0.3057","0.0443","14.5580"
"","9.2200","0.3047","0.3063","0.0465","14.5851"
"","9.2400","0.3054","0.3068","0.0476","14.6087"
"","9.2600","0.3061","0.3074","0.0476","14.6393"
"","9.2800","0.3067","0.3081","0.0472","14.6712"
"","9.3000","0.3074","0.3086","0.0467","14.6962"
"","9.3200","0.3081","0.3092","0.0464","14.7228"
"","9.3400","0.3088","0.3098","0.0463","14.7524"
"","9.3600","0.3094","0.3104","0.0462","14.7808"
"","9.3800","0.3101","0.3110","0.0459","14.8101"
"","9.4000","0.3107","0.3115","0.0454","14.8334"
"","9.4200","0.3114","0.3119","0.0453","14.8532"
"","9.4400","0.3120","0.3124","0.0452","14.8780"
"","9.4600","0.3126","0.3130","0.0460","14.9035"
"","9.4800","0.3132","0.3136","0.0482","14.9311"
"","9.5000","0.3139","0.3142","0.0491","14.9602"
"","9.5200","0.3146","0.3147","0.0489","14.9839"
"","9.5400","0.3152","0.3152","0.0484","15.0080"
"","9.5600","0.3159","0.3158","0.0482","15.0397"
"","9.5800","0.3166","0.3165","0.0476","15.0731"
"","9.6000","0.3173","0.3171","0.0475","15.1002"
"","9.6200","0.3180","0.3177","0.0473","15.1292"
"","9.6400","0.3187","0.3183","0.0470","15.1565"
"","9.6600","0.3193","0.3188","0.0468","15.1825"
"","9.6800","0.3200","0.3194","0.0467","15.2078"
"","9.7000","0.3206","0.3199","0.0468","15.2310"
"","9.7200","0.3213","0.3204","0.0489","15.2563"
"","9.7400","0.3219","0.3209","0.0504","15.2808"
"","9.7600","0.3226","0.3215","0.0506","15.3118"
"","9.7800","0.3233","0.3222","0.0502","15.3449"
"","9.8000","0.3240","0.3229","0.0497","15.3758"
"","9.8200","0.3247","0.3235","0.0494","15.4053"
"","9.8400","0.3254","0.3241","0.0490","15.4320"
"","9.8600","0.3261","0.3247","0.0488","15.4631"
"","9.8800","0.3268","0.3254","0.0484","15.4932"
